
Data	 (Ascending)
Taxa de juros - Over / Selic - acumulada no mês	 
1974.01	1,4600
1974.02	1,1500
1974.03	1,1600
1974.04	1,2100
1974.05	1,2400
1974.06	1,5100
1974.07	1,6200
1974.08	1,0000
1974.09	1,3800
1974.10	1,1200
1974.11	1,4600
1974.12	1,7300
1975.01	1,7900
1975.02	1,6000
1975.03	1,0300
1975.04	1,1900
1975.05	1,4600
1975.06	1,7600
1975.07	1,6500
1975.08	1,6000
1975.09	1,5700
1975.10	1,9500
1975.11	2,3500
1975.12	1,9900
1976.01	2,3600
1976.02	2,5800
1976.03	2,5300
1976.04	3,0200
1976.05	2,5900
1976.06	2,6200
1976.07	3,3600
1976.08	2,8000
1976.09	3,3300
1976.10	3,1900
1976.11	2,9700
1976.12	3,6200
1977.01	3,4500
1977.02	3,2700
1977.03	3,1400
1977.04	2,6400
1977.05	2,2100
1977.06	3,0900
1977.07	3,2900
1977.08	2,6700
1977.09	3,4900
1977.10	2,0200
1977.11	2,0900
1977.12	4,2000
1978.01	3,6000
1978.02	2,9300
1978.03	2,9800
1978.04	3,2100
1978.05	2,5100
1978.06	2,9100
1978.07	3,7000
1978.08	2,2800
1978.09	3,6000
1978.10	3,0500
1978.11	3,4000
1978.12	4,5800
1979.01	3,6600
1979.02	3,4300
1979.03	3,9100
1979.04	3,6300
1979.05	2,8600
1979.06	2,7700
1979.07	1,8900
1979.08	2,5000
1979.09	3,5100
1979.10	2,2100
1979.11	2,0800
1979.12	3,5700
1980.01	2,9500
1980.02	2,4700
1980.03	3,5700
1980.04	1,9500
1980.05	2,0300
1980.06	2,4500
1980.07	3,2100
1980.08	3,0400
1980.09	3,4300
1980.10	3,9600
1980.11	4,0400
1980.12	5,6500
1981.01	5,2900
1981.02	4,8000
1981.03	5,0500
1981.04	4,5200
1981.05	5,7000
1981.06	4,7500
1981.07	5,6000
1981.08	5,8900
1981.09	5,6000
1981.10	6,0200
1981.11	5,5000
1981.12	6,8300
1982.01	6,0200
1982.02	5,3100
1982.03	6,5600
1982.04	5,9000
1982.05	6,1300
1982.06	6,1400
1982.07	6,6100
1982.08	7,5800
1982.09	6,7600
1982.10	7,3100
1982.11	8,1500
1982.12	8,7600
1983.01	7,0000
1983.02	6,7500
1983.03	9,4300
1983.04	11,0200
1983.05	11,0000
1983.06	11,4500
1983.07	10,6500
1983.08	10,1400
1983.09	9,1500
1983.10	9,6700
1983.11	9,3900
1983.12	9,4100
1984.01	10,2900
1984.02	12,1400
1984.03	11,2600
1984.04	10,1200
1984.05	9,7700
1984.06	10,1700
1984.07	12,0600
1984.08	10,8100
1984.09	11,8900
1984.10	12,8900
1984.11	10,8600
1984.12	11,5700
1985.01	13,9400
1985.02	11,9600
1985.03	13,0900
1985.04	13,2700
1985.05	12,3100
1985.06	10,7300
1985.07	10,0300
1985.08	9,4300
1985.09	10,4600
1985.10	10,6700
1985.11	10,4600
1985.12	13,9600
1986.01	16,6700
1986.02	14,5400
1986.03	 
1986.04	 
1986.05	 
1986.06	1,2700
1986.07	1,9500
1986.08	2,5700
1986.09	2,9400
1986.10	1,9600
1986.11	2,3700
1986.12	5,4700
1987.01	11,0000
1987.02	19,6100
1987.03	11,9500
1987.04	15,3000
1987.05	24,6300
1987.06	18,0200
1987.07	8,9100
1987.08	8,0900
1987.09	7,9900
1987.10	9,4500
1987.11	12,9200
1987.12	14,3800
1988.01	16,7800
1988.02	18,3500
1988.03	16,5900
1988.04	20,2500
1988.05	18,6500
1988.06	20,1700
1988.07	24,6900
1988.08	22,6300
1988.09	26,2500
1988.10	29,7900
1988.11	28,4100
1988.12	30,2400
1989.01	22,9700
1989.02	18,9500
1989.03	20,4100
1989.04	11,5200
1989.05	11,4300
1989.06	27,2900
1989.07	33,1500
1989.08	35,4900
1989.09	38,5800
1989.10	47,7000
1989.11	48,4100
1989.12	64,2100
1990.01	67,6000
1990.02	82,0400
1990.03	36,7600
1990.04	4,2300
1990.05	5,6900
1990.06	8,7300
1990.07	13,7900
1990.08	11,5300
1990.09	15,2100
1990.10	16,4900
1990.11	19,8300
1990.12	22,8600
1991.01	21,0200
1991.02	6,8500
1991.03	8,9900
1991.04	9,6700
1991.05	9,5600
1991.06	10,3200
1991.07	12,3900
1991.08	15,7500
1991.09	19,7800
1991.10	25,9500
1991.11	32,4300
1991.12	31,1700
1992.01	29,0600
1992.02	28,7600
1992.03	26,8600
1992.04	23,9200
1992.05	23,0000
1992.06	24,2800
1992.07	26,2100
1992.08	25,6500
1992.09	27,6600
1992.10	28,1800
1992.11	26,4000
1992.12	25,9200
1993.01	28,5200
1993.02	28,9000
1993.03	28,3600
1993.04	30,5300
1993.05	30,9000
1993.06	31,9100
1993.07	32,7300
1993.08	34,6400
1993.09	37,2300
1993.10	38,4000
1993.11	38,3800
1993.12	40,3800
1994.01	42,7600
1994.02	41,9900
1994.03	46,4200
1994.04	46,4900
1994.05	47,9500
1994.06	50,6200
1994.07	6,8700
1994.08	4,1700
1994.09	3,8300
1994.10	3,6200
1994.11	4,0700
1994.12	3,8000
1995.01	3,3700
1995.02	3,2500
1995.03	4,2600
1995.04	4,2600
1995.05	4,2500
1995.06	4,0400
1995.07	4,0200
1995.08	3,8400
1995.09	3,3200
1995.10	3,0900
1995.11	2,8800
1995.12	2,7800
1996.01	2,5800
1996.02	2,3500
1996.03	2,2200
1996.04	2,0700
1996.05	2,0100
1996.06	1,9800
1996.07	1,9300
1996.08	1,9700
1996.09	1,9000
1996.10	1,8600
1996.11	1,8000
1996.12	1,8000
1997.01	1,7300
1997.02	1,6700
1997.03	1,6400
1997.04	1,6600
1997.05	1,5800
1997.06	1,6100
1997.07	1,6000
1997.08	1,5900
1997.09	1,5900
1997.10	1,6700
1997.11	3,0400
1997.12	2,9700
1998.01	2,6700
1998.02	2,1300
1998.03	2,2000
1998.04	1,7100
1998.05	1,6300
1998.06	1,6000
1998.07	1,7000
1998.08	1,4800
1998.09	2,4900
1998.10	2,9400
1998.11	2,6300
1998.12	2,4000
1999.01	2,1800
1999.02	2,3800
1999.03	3,3300
1999.04	2,3500
1999.05	2,0200
1999.06	1,6700
1999.07	1,6600
1999.08	1,5700
1999.09	1,4900
1999.10	1,3800
1999.11	1,3900
1999.12	1,6000
2000.01	1,4600
2000.02	1,4500
2000.03	1,4500
2000.04	1,3000
2000.05	1,4900
2000.06	1,3900
2000.07	1,3100
2000.08	1,4100
2000.09	1,2200
2000.10	1,2900
2000.11	1,2200
2000.12	1,2000
2001.01	1,2700
2001.02	1,0200
2001.03	1,2600
2001.04	1,1900
2001.05	1,3400
2001.06	1,2700
2001.07	1,5000
2001.08	1,6000
2001.09	1,3200
2001.10	1,5300
2001.11	1,3900
2001.12	1,3900
2002.01	1,5300
2002.02	1,2500
2002.03	1,3700
2002.04	1,4800
2002.05	1,4100
2002.06	1,3300
2002.07	1,5400
2002.08	1,4400
2002.09	1,3800
2002.10	1,6500
2002.11	1,5400
2002.12	1,7400
2003.01	1,9700
2003.02	1,8300
2003.03	1,7800
2003.04	1,8700
2003.05	1,9700
2003.06	1,8600
2003.07	2,0800
2003.08	1,7700
2003.09	1,6800
2003.10	1,6400
2003.11	1,3400
2003.12	1,3700
2004.01	1,2700
2004.02	1,0800
2004.03	1,3800
2004.04	1,1800
2004.05	1,2300
2004.06	1,2300
2004.07	1,2900
2004.08	1,2900
2004.09	1,2500
2004.10	1,2100
2004.11	1,2500
2004.12	1,4800
2005.01	1,3800
2005.02	1,2200
2005.03	1,5300
2005.04	1,4100
2005.05	1,5000
2005.06	1,5900
2005.07	1,5100
2005.08	1,6600
2005.09	1,5000
2005.10	1,4100
2005.11	1,3800
2005.12	1,4700
2006.01	1,4300
2006.02	1,1500
2006.03	1,4200
2006.04	1,0800
2006.05	1,2800
2006.06	1,1800
2006.07	1,1700
2006.08	1,2600
2006.09	1,0600
2006.10	1,0900
2006.11	1,0200
2006.12	0,9900
2007.01	1,0800
2007.02	0,8700
2007.03	1,0500
2007.04	0,9400
2007.05	1,0300
2007.06	0,9100
2007.07	0,9700
2007.08	0,9900
2007.09	0,8000
2007.10	0,9300
2007.11	0,8400
2007.12	0,8400
2008.01	0,9300
2008.02	0,8000
2008.03	0,8400
2008.04	0,9000
2008.05	0,8800
2008.06	0,9600
2008.07	1,0700
2008.08	1,0200
2008.09	1,1000
2008.10	1,1800
2008.11	1,0200
2008.12	1,1200
2009.01	1,0500
2009.02	0,8600
2009.03	0,9700
2009.04	0,8400
2009.05	0,7700
2009.06	0,7600
2009.07	0,7900
2009.08	0,6900
2009.09	0,6900
2009.10	0,6900
2009.11	0,6600
2009.12	0,7300
2010.01	0,6600
2010.02	0,5900
2010.03	0,7600
2010.04	0,6700
2010.05	0,7500
2010.06	0,7900
2010.07	0,8600
2010.08	0,8900
2010.09	0,8500
2010.10	0,8100
2010.11	0,8100
2010.12	0,9300
2011.01	0,8600
2011.02	0,8400
2011.03	0,9200
2011.04	0,8400
2011.05	0,9900
2011.06	0,9600
2011.07	0,9700
2011.08	1,0700
2011.09	0,9400
2011.10	0,8800
2011.11	0,8600
2011.12	0,9100
2012.01	0,8900
2012.02	0,7500
2012.03	0,8200
2012.04	0,7100
2012.05	0,7400
2012.06	0,6400
2012.07	0,6800
2012.08	0,6900
2012.09	0,5400
2012.10	0,6100
2012.11	0,5500
2012.12	0,5500
2013.01	0,6000
2013.02	0,4900
2013.03	0,5500
2013.04	0,6100
2013.05	0,6000
2013.06	0,6100
2013.07	0,7200
2013.08	0,7100
2013.09	0,7100
2013.10	0,8100
2013.11	0,7200
2013.12	0,7900
2014.01	0,8500
2014.02	0,7900
2014.03	0,7700
2014.04	0,8200
2014.05	0,8700
2014.06	0,8200
2014.07	0,9500
2014.08	0,8700
2014.09	0,9100
2014.10	0,9500
2014.11	0,8400
2014.12	0,9600
2015.01	0,9400
2015.02	0,8200
2015.03	1,0400
2015.04	0,9500
2015.05	0,9900
2015.06	1,0700
2015.07	1,1800
2015.08	1,1100
2015.09	1,1100
2015.10	1,1100
2015.11	1,0600
2015.12	1,1600
2016.01	1,0600
2016.02	1,0000
2016.03	1,1600
2016.04	1,0600
2016.05	1,1100
2016.06	1,1600
2016.07	1,1100
2016.08	1,2200
2016.09	1,1100
2016.10	1,0500
2016.11	1,0400
2016.12	1,1200
2017.01	1,0900
2017.02	0,8700
2017.03	1,0500
2017.04	0,7900
2017.05	0,9300
2017.06	0,8100
2017.07	0,8000
2017.08	0,8000
2017.09	0,6400
2017.10	0,6400
2017.11	0,5700
2017.12	0,5400
2018.01	0,5800
2018.02	0,4700
2018.03	0,5300
2018.04	0,5200
2018.05	0,5200
2018.06	0,5200
2018.07	0,5400
2018.08	0,5700
2018.09	0,4700
2018.10	0,5400
2018.11	0,4900
2018.12	0,4900
2019.01	0,5400
2019.02	0,4900
2019.03	0,4700
2019.04	0,5200
2019.05	0,5400
2019.06	0,4700
2019.07	0,5700
2019.08	0,5000
2019.09	0,4600
2019.10	0,4800
2019.11	0,3800
2019.12	0,3700
2020.01	0,3800
2020.02	0,2900
2020.03	0,3400
2020.04	0,2800
2020.05	0,2400
2020.06	0,2100
2020.07	0,1900
2020.08	0,1600
2020.09	0,1600
2020.10	0,1600
2020.11	0,1500
2020.12	0,1600
2021.01	0,1500
2021.02	0,1300
2021.03	0,2000
2021.04	0,2100
2021.05	0,2700
2021.06	0,3100
2021.07	0,3600
2021.08	0,4300
2021.09	0,4400
2021.10	0,4900
2021.11	0,5900
2021.12	0,7700
2022.01	0,7300
2022.02	0,7600
2022.03	0,9300
2022.04	0,8300
2022.05	1,0300
2022.06	1,0200
2022.07	1,0300
2022.08	1,1700
2022.09	1,0700
2022.10	1,0200
2022.11	1,0200
2022.12	1,1200
2023.01	1,1200
2023.02	0,9200
2023.03	1,1700
2023.04	0,9200
2023.05	1,1200
2023.06	1,0700
2023.07	1,0700
2023.08	1,1400
2023.09	0,9700
2023.10	1,0000
2023.11	0,9200
2023.12	0,8900
2024.01	0,9700
2024.02	0,8000
2024.03	0,8300
2024.04	0,8900
2024.05	0,8300
2024.06	0,7900
2024.07	0,9100
2024.08	0,8700
2024.09	0,8400
2024.10	0,9300
2024.11	0,7900
2024.12	0,9300
2025.01	1,0100
2025.02	0,9900
2025.03	0,9600
2025.04	1,0600
2025.05	1,1400
2025.06	1,1000
2025.07	1,2800
2025.08	1,1600
